path,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
"/Users/apple/Desktop/Newenergy/high/In-Phase,Yuna-X - Time Stands Still (Hardbass Edit).mp3",0.16154882922877434,0.518110454082489,0.8176528215408325,0.46627561637080384,0.24730073971476105,0.1093330904841423,0.3497903645038605
"/Users/apple/Desktop/Newenergy/high/James Hype, Cheyenne Giles, Lil Jon - Ferarri [Deville Party Starter Edit] [Dirty] 2A 126.mp3",0.02370582644335273,0.6564544439315796,0.9397525787353516,0.5805729925209595,0.19486743048216223,0.12208665162324905,0.6595338582992554
"/Users/apple/Desktop/Newenergy/high/Atmozfears,OneRepublic - If I Lose Myself (Atmozfears Remix)(Radio Edit).mp3",0.42529046931594344,0.47217369079589844,0.8374805450439453,0.34034070239393366,0.24573818989066615,0.13255663216114044,0.4222474694252014
/Users/apple/Desktop/Newenergy/high/JAY-Z vs Slippy & Maazel - Big Pimpin (Bossa Nova Nobody Edit) Dirty 9A 75.mp3,0.15350331669675263,0.5636879205703735,0.9535942077636719,0.19016205001342748,0.21647007719197975,0.18296942114830017,0.5577855110168457
"/Users/apple/Desktop/Newenergy/high/Atmozfears,OneRepublic - If I Lose Myself (Atmozfears Remix)(Radio Edit) (1).mp3",0.42529046931594344,0.47217369079589844,0.8374805450439453,0.34034070239393366,0.24573818989066615,0.13255663216114044,0.4222474694252014
/Users/apple/Desktop/Newenergy/high/Da Tweekaz - Break The Spell (radio edit).mp3,0.0742253576170769,0.4431697130203247,0.9370876550674438,0.580010034220067,0.2937782513803114,0.15592646598815918,0.1736622452735901
"/Users/apple/Desktop/Newenergy/high/Aqua, TJR, Savage - Barbie Girl Wants To Party (Deville Troll Edit) Clean 4A 130.mp3",0.02288867233602863,0.6350730657577515,0.9409643411636353,0.6118887568968767,0.1994352033737638,0.12050610035657883,0.6095093488693237
/Users/apple/Desktop/Newenergy/high/Chris Brown vs Tujamo - Yeah 3X (JD Live 2023 Bootleg) Clean 3A 126 V2.mp3,0.025055293088307038,0.688435435295105,0.9000591039657593,0.7282369085655664,0.1910040426060307,0.11024010926485062,0.6659296751022339
"/Users/apple/Desktop/Newenergy/high/Krewella,Rebourne - Alive (Rebourne Remix).mp3",0.1555882219220119,0.5382573008537292,0.8792856931686401,0.5060880006537943,0.2449114967129439,0.12085428833961487,0.3701072335243225
/Users/apple/Desktop/Newenergy/high/Dark Rehab - Hall Of Fame (Dark Rehab Hardstyle Bootleg).mp3,0.32924592040689826,0.47610390186309814,0.7790088057518005,0.3937894770887808,0.24673120889517625,0.11525793373584747,0.3169304430484772
/Users/apple/Desktop/Newenergy/high/Tried & Tested 071723\Kanye West x Rihanna x San Holo x Nitti Gritti - All Of The Lights (Deville VIP Future Bass Edit) Clean CK Cut 3A 75.mp3,0.018025600924915106,0.661402702331543,0.849311113357544,0.6985926501157791,0.18473476057654659,0.10321862995624542,0.5994664430618286
/Users/apple/Desktop/Newenergy/high/Whipped Cream - Light Of Mine [Clean Extended] 11A 80.mp3,0.013947477819921688,0.5643234848976135,0.8515758514404297,0.8568340148524582,0.18536361212963287,0.09136668592691422,0.21987877786159515
"/Users/apple/Desktop/Newenergy/high/Run-D.M.C, Hardwell, Silano - Tricky Spaceman [Deville EDM Flip Segue] [No Hype] [Extended] [Clean] 2A 130.mp3",0.021422566663880902,0.658329963684082,0.8884698152542114,0.36153735261958864,0.19647806257096656,0.15513700246810913,0.6745573282241821
"/Users/apple/Desktop/Newenergy/high/TNT,Sound Rush - Right Now (Original Mix).mp3",0.1362069591282936,0.5289835929870605,0.9697660207748413,0.7360943654952685,0.2511791543198532,0.14702507853507996,0.3246106505393982
/Users/apple/Desktop/Newenergy/high/Sheck Wes - Mo Bamba [Esther Anaya Remix] [Crate Cuts] [Dirty - 128Bpm] 9A.mp3,0.027476615115262767,0.7023364305496216,0.8185477256774902,0.6708580742343286,0.16676852853987634,0.10370664298534393,0.6531691551208496
/Users/apple/Desktop/Newenergy/high/Sigma ft MORGAN - Adrenaline Rush (Run In The Jungle Remix) Extended Clean 8A 175.mp3,0.09033203674613147,0.5992592573165894,0.9581503868103027,0.6208288751368131,0.20486017216774252,0.11841218173503876,0.5547689199447632
/Users/apple/Desktop/Newenergy/high/Nicki Minaj vs Yufo & Amel - Super Bass (Koop Losing My Mind Edit) Clean 1A 128.mp3,0.05585408745378236,0.5158641338348389,0.9560418128967285,0.5877373391010919,0.24076261052854336,0.13125766813755035,0.3107849657535553
/Users/apple/Desktop/Newenergy/high/Timmy Trumpet & Scooter - For Those About To Rave (Extended Mix) Clean 8A 142.mp3,0.10070739482130418,0.6088566184043884,1.0,0.7482087948479083,0.2366327785143077,0.1773519068956375,0.4886971712112427
/Users/apple/Desktop/Newenergy/high/Toby Romeo ft Deve - Oh Lord (Hayve Remix) (Clean Extended).mp3,0.04977607603915023,0.6702190041542053,0.9169747829437256,0.5674544130396795,0.1884155802896711,0.12177325785160065,0.6895802021026611
/Users/apple/Desktop/Newenergy/high/The Weeknd Vs. RL Grime - Blinding Lights Vs. Shrine [DANG Mashup] [Clean] 8A 88.mp3,0.08422882851167321,0.5562270283699036,0.7900001406669617,0.306335228883833,0.19364807867710782,0.09042282402515411,0.3892359733581543
"/Users/apple/Desktop/Newenergy/high/[House X Progressive, Dance X EDM] Collini X Showtek vs Mark'oh - Don't Put That Blame On Me (Big Room Bootleg) (Clean) 9B 128 Energy 7.mp3",0.011175053522354223,0.6774036884307861,0.8688084483146667,0.7789189462659479,0.17573891407131617,0.08997445553541183,0.5493278503417969
/Users/apple/Desktop/Newenergy/high/Zombie Nation - Kernkraft 400 (Dollar Bear Drum & Bass Remix) 170.mp3,0.022985978073469287,0.5936060547828674,0.9511198997497559,0.8669839813378595,0.18925865257390348,0.11037548631429672,0.3097037672996521
/Users/apple/Desktop/Newenergy/high/Black Toys - 5th Symphony (E-Legal Remix).flac,0.0761503046499719,0.504996657371521,0.893285870552063,0.7451821266590503,0.21850774430185743,0.11200480163097382,0.32002830505371094
/Users/apple/Desktop/Newenergy/high/Faizar - Alive (Original Edit).flac,0.3293403211130775,0.5123286843299866,0.9639471769332886,0.7017331637166399,0.27705226415182777,0.1388678103685379,0.4347330927848816
/Users/apple/Desktop/Newenergy/high/Black Toys - 5th Symphony (E-Legal Remix) (1).flac,0.0761503046499719,0.504996657371521,0.893285870552063,0.7451821266590503,0.21850774430185743,0.11200480163097382,0.32002830505371094
/Users/apple/Desktop/Newenergy/high/Faizar - Alive (Original Edit) (1).flac,0.3293403211130775,0.5123286843299866,0.9639471769332886,0.7017331637166399,0.27705226415182777,0.1388678103685379,0.4347330927848816
/Users/apple/Desktop/Newenergy/high/Avana - The B-side (Original Edit) (1).flac,0.06390057071914763,0.4868689179420471,0.9146889448165894,0.8432305774677226,0.24033086909388693,0.12649235129356384,0.17666447162628174
/Users/apple/Desktop/Newenergy/high/FSDW - Wknd (Mindblast Remix) (1).flac,0.369848298234739,0.5201588869094849,0.7992123365402222,0.6360214926399588,0.2840303513365418,0.15155501663684845,0.34870707988739014
"/Users/apple/Desktop/Newenergy/high/Frequencerz,Phuture Noize - Starlight.flac",0.2220746591135316,0.4879867732524872,0.8109029531478882,0.283580137352922,0.22704744319057554,0.11494552344083786,0.3121512234210968
/Users/apple/Desktop/Newenergy/high/FSDW - Wknd (Mindblast Remix).flac,0.369848298234739,0.5201588869094849,0.7992123365402222,0.6360214926399588,0.2840303513365418,0.15155501663684845,0.34870707988739014
/Users/apple/Desktop/Newenergy/high/Avana - The B-side (Original Edit).flac,0.06390057071914763,0.4868689179420471,0.9146889448165894,0.8432305774677226,0.24033086909388693,0.12649235129356384,0.17666447162628174
"/Users/apple/Desktop/Newenergy/high/Dark Rehab,ReliQium - My Worth.flac",0.0537716872284862,0.5503721237182617,0.8784679174423218,0.5324347630030916,0.2254993847181612,0.10452541708946228,0.35566332936286926
/Users/apple/Desktop/Newenergy/high/Refuzion - Back In Time.flac,0.05241504441549362,0.5205855369567871,0.8645775318145752,0.21544200645268588,0.24153184112239323,0.1130332350730896,0.4242246747016907
/Users/apple/Desktop/Newenergy/high/Refuzion - Without You (Radio Version).flac,0.18724613308381943,0.48198461532592773,0.6884217262268066,0.6041288958048001,0.22781678465451954,0.089272141456604,0.22879767417907715
/Users/apple/Desktop/Newenergy/high/Refuzion - Hardstyle DNA (Radio).flac,0.12194698021791303,0.513329029083252,0.9224603176116943,0.5984831883738091,0.20549623139183576,0.07584232836961746,0.5336326360702515
