
path,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
/Users/apple/Desktop/Newenergy/lab/Jessi - 쎈언니.mp3,0.08190390170043757,0.6138569116592407,0.8739838600158691,0.06257167273501239,0.20964731878450305,0.2506541311740875,0.65390944480896
/Users/apple/Desktop/Newenergy/lab/Jessi - Gucci.mp3,0.08718203740202185,0.5614481568336487,0.8695269823074341,0.03855774199526118,0.22817541730575983,0.20032790303230286,0.5632274150848389
"/Users/apple/Desktop/Newenergy/lab/Jason Derulo,Snoop Dogg - Wiggle.mp3",0.22382047303437136,0.6570987105369568,0.7184290885925293,0.033207750871351006,0.19595383111849307,0.2729571759700775,0.7126762270927429
/Users/apple/Desktop/Newenergy/lab/Black Eyed Peas - Let's Get It Started.mp3,0.2095184435993629,0.7014922499656677,0.692256510257721,0.01995286856385959,0.17672961091213668,0.25847524404525757,0.8833528757095337
/Users/apple/Desktop/Newenergy/lab/DMX - Ruff Ryders Anthem.mp3,0.4623208554997126,0.7523951530456543,0.4332255423069,0.08732395094986277,0.1625694401257205,0.4835119843482971,0.8398628234863281
/Users/apple/Desktop/Newenergy/lab/DJ Katch - The Horns.mp3,0.03247989347146731,0.7143886089324951,0.8050618171691895,0.840538071636356,0.16211927399011342,0.09818705171346664,0.5779542922973633
/Users/apple/Desktop/Newenergy/lab/Lil Ghost小鬼 - 别叫我达芬奇 (Punk Version).mp3,0.03277146202870513,0.5148751735687256,0.9070037603378296,0.21299563328768525,0.17634497882782948,0.07023005187511444,0.7579711675643921
"/Users/apple/Desktop/Newenergy/lab/DJ Khaled,Rick Ross,Snoop Dogg - All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross).mp3",0.10937986298639892,0.5845463871955872,0.8403732776641846,0.010532047382497143,0.2327544579216967,0.2668052315711975,0.6749811172485352
"/Users/apple/Desktop/Newenergy/lab/Anuel AA,Daddy Yankee,KAROL G - China.mp3",0.24073277994119255,0.739249587059021,0.7904787659645081,0.15852572398813353,0.16333991226553096,0.21534383296966553,0.8614716529846191
"/Users/apple/Desktop/Newenergy/lab/Big Sean,E-40 - I Don't F＊＊＊ With You.mp3",0.3524908722305463,0.6915135383605957,0.6569247245788574,0.00992411244862091,0.18473481443810946,0.39090144634246826,0.7872461080551147
/Users/apple/Desktop/Newenergy/lab/MC Hotdog - MC来了.mp3,0.4414290192435094,0.686561644077301,0.7421112656593323,0.08332653547214051,0.163813868761862,0.19455724954605103,0.9060630798339844
/Users/apple/Desktop/Newenergy/lab/Yellow Claw - DJ Turn It Up.mp3,0.023653721440882625,0.7398090958595276,0.759162187576294,0.6841202694230238,0.15632694170556058,0.11421220749616623,0.7304719686508179
"/Users/apple/Desktop/Newenergy/lab/Migos,Lil Uzi Vert - Bad and Boujee.mp3",0.37337218617525597,0.656000554561615,0.568631112575531,0.027294568079218498,0.17617691468800512,0.3724638819694519,0.6565115451812744
